"IAB53,-5000.0,5000.0,5.0"
"IAB54,-4500.0,5000.0,5.0"
"IAB55,-4000.0,5000.0,5.0"
"IAB56,-3500.0,5000.0,5.0"
"IAB57,-3000.0,5000.0,5.0"
"IAB58,-2500.0,5000.0,5.0"
"IAB59,-2000.0,5000.0,5.0"
"IAB60,-1500.0,5000.0,5.0"
"IAB61,-1000.0,5000.0,5.0"
"IAB62,-500.0,5000.0,5.0"
"IAB63,0.0,5000.0,5.0"
"IAB64,500.0,5000.0,5.0"
"IAB65,1000.0,5000.0,5.0"
"IAB66,1500.0,5000.0,5.0"
"IAB67,2000.0,5000.0,5.0"
"IAB68,2500.0,5000.0,5.0"
"IAB69,3000.0,5000.0,5.0"
"IAB70,3500.0,5000.0,5.0"
"IAB71,4000.0,5000.0,5.0"
"IAB72,4500.0,5000.0,5.0"
"IAB73,5000.0,5000.0,5.0"
"IAB78,-5000.0,4500.0,5.0"
"IAB79,-4500.0,4500.0,5.0"
"IAB80,-4000.0,4500.0,5.0"
"IAB81,-3500.0,4500.0,5.0"
"IAB82,-3000.0,4500.0,5.0"
"IAB83,-2500.0,4500.0,5.0"
"IAB84,-2000.0,4500.0,5.0"
"IAB85,-1500.0,4500.0,5.0"
"IAB86,-1000.0,4500.0,5.0"
"IAB87,-500.0,4500.0,5.0"
"IAB88,0.0,4500.0,5.0"
"IAB89,500.0,4500.0,5.0"
"IAB90,1000.0,4500.0,5.0"
"IAB91,1500.0,4500.0,5.0"
"IAB92,2000.0,4500.0,5.0"
"IAB93,2500.0,4500.0,5.0"
"IAB94,3000.0,4500.0,5.0"
"IAB95,3500.0,4500.0,5.0"
"IAB96,4000.0,4500.0,5.0"
"IAB97,4500.0,4500.0,5.0"
"IAB98,5000.0,4500.0,5.0"
"IAB103,-5000.0,4000.0,5.0"
"IAB104,-4500.0,4000.0,5.0"
"IAB105,-4000.0,4000.0,5.0"
"IAB106,-3500.0,4000.0,5.0"
"IAB107,-3000.0,4000.0,5.0"
"IAB108,-2500.0,4000.0,5.0"
"IAB109,-2000.0,4000.0,5.0"
"IAB110,-1500.0,4000.0,5.0"
"IAB111,-1000.0,4000.0,5.0"
"IAB112,-500.0,4000.0,5.0"
"IAB113,0.0,4000.0,5.0"
"IAB114,500.0,4000.0,5.0"
"IAB115,1000.0,4000.0,5.0"
"IAB116,1500.0,4000.0,5.0"
"IAB117,2000.0,4000.0,5.0"
"IAB118,2500.0,4000.0,5.0"
"IAB119,3000.0,4000.0,5.0"
"IAB120,3500.0,4000.0,5.0"
"IAB121,4000.0,4000.0,5.0"
"IAB122,4500.0,4000.0,5.0"
"IAB123,5000.0,4000.0,5.0"
"IAB128,-5000.0,3500.0,5.0"
"IAB129,-4500.0,3500.0,5.0"
"IAB130,-4000.0,3500.0,5.0"
"IAB131,-3500.0,3500.0,5.0"
"IAB132,-3000.0,3500.0,5.0"
"IAB133,-2500.0,3500.0,5.0"
"IAB134,-2000.0,3500.0,5.0"
"IAB135,-1500.0,3500.0,5.0"
"IAB136,-1000.0,3500.0,5.0"
"IAB137,-500.0,3500.0,5.0"
"IAB138,0.0,3500.0,5.0"
"IAB139,500.0,3500.0,5.0"
"IAB140,1000.0,3500.0,5.0"
"IAB141,1500.0,3500.0,5.0"
"IAB142,2000.0,3500.0,5.0"
"IAB143,2500.0,3500.0,5.0"
"IAB144,3000.0,3500.0,5.0"
"IAB145,3500.0,3500.0,5.0"
"IAB146,4000.0,3500.0,5.0"
"IAB147,4500.0,3500.0,5.0"
"IAB148,5000.0,3500.0,5.0"
"IAB153,-5000.0,3000.0,5.0"
"IAB154,-4500.0,3000.0,5.0"
"IAB155,-4000.0,3000.0,5.0"
"IAB156,-3500.0,3000.0,5.0"
"IAB157,-3000.0,3000.0,5.0"
"IAB158,-2500.0,3000.0,5.0"
"IAB159,-2000.0,3000.0,5.0"
"IAB160,-1500.0,3000.0,5.0"
"IAB161,-1000.0,3000.0,5.0"
"IAB162,-500.0,3000.0,5.0"
"IAB163,0.0,3000.0,5.0"
"IAB164,500.0,3000.0,5.0"
"IAB165,1000.0,3000.0,5.0"
"IAB166,1500.0,3000.0,5.0"
"IAB167,2000.0,3000.0,5.0"
"IAB168,2500.0,3000.0,5.0"
"IAB169,3000.0,3000.0,5.0"
"IAB170,3500.0,3000.0,5.0"
"IAB171,4000.0,3000.0,5.0"
"IAB172,4500.0,3000.0,5.0"
"IAB173,5000.0,3000.0,5.0"
"IAB178,-5000.0,2500.0,5.0"
"IAB179,-4500.0,2500.0,5.0"
"IAB180,-4000.0,2500.0,5.0"
"IAB181,-3500.0,2500.0,5.0"
"IAB182,-3000.0,2500.0,5.0"
"IAB183,-2500.0,2500.0,5.0"
"IAB184,-2000.0,2500.0,5.0"
"IAB185,-1500.0,2500.0,5.0"
